出現ﾌﾚｰﾑ,移動ﾊﾟﾀｰﾝ,初期x座標,初期y座標,移動角度(度)
100,0,300,-32,90
110,0,300,-32,90
120,0,300,-32,90
130,0,300,-32,90
140,0,300,-32,90
150,0,300,-32,90
160,0,300,-32,90
170,0,300,-32,90
180,0,300,-32,90
190,0,300,-32,90
400,1,340,-32,90
410,1,340,-32,90
420,1,340,-32,90
430,1,340,-32,90
440,1,340,-32,90
450,1,340,-32,90
460,1,340,-32,90
470,1,340,-32,90
480,1,340,-32,90
490,1,340,-32,90
1240,0,300,-32,90
1250,0,300,-32,90
1260,0,300,-32,90
1270,0,300,-32,90
1280,0,300,-32,90
1290,0,300,-32,90
1300,0,300,-32,90
1310,0,300,-32,90
1320,0,300,-32,90
1330,0,300,-32,90
1360,1,340,-32,90
1370,1,340,-32,90
1380,1,340,-32,90
1390,1,340,-32,90
1400,1,340,-32,90
1410,1,340,-32,90
1420,1,340,-32,90
1430,1,340,-32,90
1440,1,340,-32,90
1450,1,340,-32,90
